study,region,sample,cell_type,cell_type_clean,sample_id
Choudhury2022_Brain,Brain,MSC1,Malignant,Malignant,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC1,Monocyte,Monocyte,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC1,Pericyte,Pericyte,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC1,T_cell,T cell,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC1,Glia,Glia,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC1,Endothelial,Endothelial,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC2,Monocyte,Monocyte,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC2,Pericyte,Pericyte,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC2,Malignant,Malignant,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC2,T_cell,T cell,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC2,Glia,Glia,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC2,Endothelial,Endothelial,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC3,Malignant,Malignant,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC3,Monocyte,Monocyte,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC3,Pericyte,Pericyte,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC3,Endothelial,Endothelial,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC3,T_cell,T cell,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC3,Glia,Glia,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC4,Monocyte,Monocyte,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4,Malignant,Malignant,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4,Endothelial,Endothelial,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4,Pericyte,Pericyte,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4,Glia,Glia,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4,T_cell,T cell,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4-Dura,Malignant,Malignant,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC4-Dura,T_cell,T cell,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC4-Dura,Pericyte,Pericyte,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC4-Dura,Monocyte,Monocyte,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC4-Dura,Endothelial,Endothelial,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC4-Dura,Glia,Glia,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC5,Malignant,Malignant,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5,Monocyte,Monocyte,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5,Pericyte,Pericyte,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5,Glia,Glia,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5,Endothelial,Endothelial,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5,T_cell,T cell,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5-BTI,Malignant,Malignant,Choudhury2022_Brain::MSC5-BTI
Choudhury2022_Brain,Brain,MSC5-BTI,Endothelial,Endothelial,Choudhury2022_Brain::MSC5-BTI
Choudhury2022_Brain,Brain,MSC5-BTI,Glia,Glia,Choudhury2022_Brain::MSC5-BTI
Choudhury2022_Brain,Brain,MSC5-BTI,Monocyte,Monocyte,Choudhury2022_Brain::MSC5-BTI
Choudhury2022_Brain,Brain,MSC5-BTI,Pericyte,Pericyte,Choudhury2022_Brain::MSC5-BTI
